,EquipSet,ClassType,Set At,STR,DEX,LUK,INT,All Stats,Max HP,Max MP,Perc Max HP,Perc Max MP,Defense,Weapon Attack,Magic Attack,Ignored Enemy Defense,Boss Damage,Critical Damage,Damage,All Skills,Damage Against Normal Monsters,Abnormal Status Resistance
25,Arcane Umbra,Magician,4,0.0,0.0,0.0,0.0,50.0,0,0,0,0,0.0,35.0,35.0,0,10%,0,0,0,0.0,0.0
26,Arcane Umbra,Magician,5,0.0,0.0,0.0,0.0,0.0,"2,000","2,000",0,0,0.0,40.0,40.0,0,10%,0,0,0,0.0,0.0
27,Arcane Umbra,Magician,6,0.0,0.0,0.0,0.0,0.0,0,0,30%,30%,0.0,30.0,30.0,0,0,0,0,0,0.0,0.0
28,Arcane Umbra,Magician,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30.0,30.0,10%,0,0,0,0,0.0,0.0
29,AbsoLab,Magician,3,0.0,0.0,0.0,0.0,30.0,0,0,0,0,0.0,20.0,20.0,0,10%,0,0,0,0.0,0.0
30,AbsoLab,Magician,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200.0,25.0,25.0,10%,0,0,0,0,0.0,0.0
31,AbsoLab,Magician,5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30.0,30.0,0,10%,0,0,0,0.0,0.0
32,AbsoLab,Magician,6,0.0,0.0,0.0,0.0,0.0,0,0,20%,20%,0.0,20.0,20.0,0,0,0,0,0,0.0,0.0
33,AbsoLab,Magician,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20.0,20.0,10%,0,0,0,0,0.0,0.0
34,Dragon Tail,Magician,3,0.0,0.0,0.0,0.0,0.0,0,0,15%,15%,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
35,Dragon Tail,Magician,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,15.0,0,0,0,0,0,0.0,10.0
36,Dragon Tail,Magician,5,0.0,0.0,0.0,0.0,20.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2 Levels,0.0,0.0
37,Dragon Tail,Magician,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,30.0,0,30%,0,0,0,0.0,0.0
38,Dragon Tail,Magician,7,0.0,0.0,0.0,0.0,0.0,0,0,15%,15%,0.0,0.0,10.0,0,0,0,0,0,0.0,0.0
39,8th,Magician,3,0.0,0.0,0.0,0.0,0.0,0,0,9%,9%,0.0,0.0,0.0,0,0,0,0,0,2.0,0.0
40,8th,Magician,4,0.0,0.0,0.0,9.0,0.0,0,0,0,0,0.0,0.0,9.0,0,0,0,0,0,4.0,0.0
41,8th,Magician,5,0.0,0.0,0.0,0.0,15.0,0,0,0,0,250.0,0.0,0.0,10%,0,0,0,0,6.0,0.0
42,8th,Magician,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10.0,10.0,10%,0,0,0,0,8.0,0.0
43,AbsoLab,Warrior,3,0.0,0.0,0.0,0.0,30.0,0,0,0,0,0.0,20.0,20.0,0,10%,0,0,0,0.0,0.0
44,AbsoLab,Warrior,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200.0,25.0,25.0,10%,0,0,0,0,0.0,0.0
45,AbsoLab,Warrior,5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30.0,30.0,0,10%,0,0,0,0.0,0.0
46,AbsoLab,Warrior,6,0.0,0.0,0.0,0.0,0.0,0,0,20%,20%,0.0,20.0,20.0,0,0,0,0,0,0.0,0.0
47,AbsoLab,Warrior,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20.0,20.0,10%,0,0,0,0,0.0,0.0
48,Lionheart,Warrior,3,0.0,0.0,0.0,0.0,0.0,0,0,15%,15%,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
49,Lionheart,Warrior,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,15.0,0.0,0,0,0,0,0,0.0,10.0
50,Lionheart,Warrior,5,0.0,0.0,0.0,0.0,20.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2 Levels,0.0,0.0
51,Lionheart,Warrior,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30.0,0.0,0,30%,0,0,0,0.0,0.0
52,Lionheart,Warrior,7,0.0,0.0,0.0,0.0,0.0,0,0,15%,15%,0.0,10.0,0.0,0,0,0,0,0,0.0,0.0
53,Gold Parts,Pirate,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150.0,0.0,0.0,0,0,0,0,0,0.0,0.0
54,Gold Parts,Pirate,5,0.0,0.0,0.0,0.0,4.0,0,0,0,0,0.0,2.0,0.0,0,0,0,0,0,0.0,0.0
55,Root Abyss,Warrior,3,0.0,0.0,0.0,0.0,0.0,0,0,10%,10%,0.0,50.0,0.0,0,0,0,0,0,0.0,0.0
56,Root Abyss,Warrior,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,30%,0,0,0,0.0,0.0
57,8th,Warrior,3,0.0,0.0,0.0,0.0,0.0,0,0,9%,9%,0.0,0.0,0.0,0,0,0,0,0,2.0,0.0
58,8th,Warrior,4,9.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9.0,0.0,0,0,0,0,0,4.0,0.0
59,8th,Warrior,5,0.0,0.0,0.0,0.0,15.0,0,0,0,0,250.0,0.0,0.0,10%,0,0,0,0,6.0,0.0
60,8th,Warrior,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10.0,10.0,10%,0,0,0,0,8.0,0.0
61,Pure Gold Parts,Pirate,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,300.0,0.0,0.0,0,0,0,0,0,0.0,0.0
62,Pure Gold Parts,Pirate,5,0.0,0.0,0.0,0.0,5.0,0,0,0,0,0.0,3.0,0.0,0,0,0,0,0,0.0,0.0
63,Arcane Umbra,Warrior,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,400.0,30.0,30.0,10%,0,0,0,0,0.0,0.0
64,Arcane Umbra,Warrior,4,0.0,0.0,0.0,0.0,50.0,0,0,0,0,0.0,35.0,35.0,0,10%,0,0,0,0.0,0.0
65,Arcane Umbra,Warrior,5,0.0,0.0,0.0,0.0,0.0,"2,000","2,000",0,0,0.0,40.0,40.0,0,10%,0,0,0,0.0,0.0
66,Arcane Umbra,Warrior,6,0.0,0.0,0.0,0.0,0.0,0,0,30%,30%,0.0,30.0,30.0,0,0,0,0,0,0.0,0.0
67,Arcane Umbra,Warrior,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30.0,30.0,10%,0,0,0,0,0.0,0.0
68,Arcane Umbra,Pirate,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,400.0,30.0,30.0,10%,0,0,0,0,0.0,0.0
69,Arcane Umbra,Pirate,4,0.0,0.0,0.0,0.0,50.0,0,0,0,0,0.0,35.0,35.0,0,10%,0,0,0,0.0,0.0
70,Arcane Umbra,Pirate,5,0.0,0.0,0.0,0.0,0.0,"2,000","2,000",0,0,0.0,40.0,40.0,0,10%,0,0,0,0.0,0.0
71,Arcane Umbra,Pirate,6,0.0,0.0,0.0,0.0,0.0,0,0,30%,30%,0.0,30.0,30.0,0,0,0,0,0,0.0,0.0
72,Arcane Umbra,Pirate,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30.0,30.0,10%,0,0,0,0,0.0,0.0
73,AbsoLab,Pirate,3,0.0,0.0,0.0,0.0,30.0,0,0,0,0,0.0,20.0,20.0,0,10%,0,0,0,0.0,0.0
74,AbsoLab,Pirate,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200.0,25.0,25.0,10%,0,0,0,0,0.0,0.0
75,AbsoLab,Pirate,5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30.0,30.0,0,10%,0,0,0,0.0,0.0
76,AbsoLab,Pirate,6,0.0,0.0,0.0,0.0,0.0,0,0,20%,20%,0.0,20.0,20.0,0,0,0,0,0,0.0,0.0
77,AbsoLab,Pirate,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20.0,20.0,10%,0,0,0,0,0.0,0.0
78,Root Abyss,Pirate,3,0.0,0.0,0.0,0.0,0.0,0,0,10%,10%,0.0,50.0,0.0,0,0,0,0,0,0.0,0.0
79,Root Abyss,Pirate,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,30%,0,0,0,0.0,0.0
80,Shark Tooth,Pirate,3,0.0,0.0,0.0,0.0,0.0,0,0,15%,15%,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
81,Shark Tooth,Pirate,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,15.0,0.0,0,0,0,0,0,0.0,10.0
82,Shark Tooth,Pirate,5,0.0,0.0,0.0,0.0,20.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2 Levels,0.0,0.0
83,Shark Tooth,Pirate,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30.0,0.0,0,30%,0,0,0,0.0,0.0
84,Shark Tooth,Pirate,7,0.0,0.0,0.0,0.0,0.0,0,0,15%,15%,0.0,10.0,0.0,0,0,0,0,0,0.0,0.0
85,Arcane Umbra,Thief,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,400.0,30.0,30.0,10%,0,0,0,0,0.0,0.0
86,Arcane Umbra,Thief,4,0.0,0.0,0.0,0.0,50.0,0,0,0,0,0.0,35.0,35.0,0,10%,0,0,0,0.0,0.0
87,Arcane Umbra,Thief,5,0.0,0.0,0.0,0.0,0.0,"2,000","2,000",0,0,0.0,40.0,40.0,0,10%,0,0,0,0.0,0.0
88,Arcane Umbra,Thief,6,0.0,0.0,0.0,0.0,0.0,0,0,30%,30%,0.0,30.0,30.0,0,0,0,0,0,0.0,0.0
89,Arcane Umbra,Thief,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30.0,30.0,10%,0,0,0,0,0.0,0.0
90,8th,Pirate,3,0.0,0.0,0.0,0.0,0.0,0,0,9%,9%,0.0,0.0,0.0,0,0,0,0,0,2.0,0.0
91,8th,Pirate,4,9.0,9.0,0.0,0.0,0.0,0,0,0,0,0.0,9.0,0.0,0,0,0,0,0,4.0,0.0
92,8th,Pirate,5,0.0,0.0,0.0,0.0,15.0,0,0,0,0,250.0,0.0,0.0,10%,0,0,0,0,6.0,0.0
93,8th,Pirate,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10.0,10.0,10%,0,0,0,0,8.0,0.0
94,AbsoLab,Thief,3,0.0,0.0,0.0,0.0,30.0,0,0,0,0,0.0,20.0,20.0,0,10%,0,0,0,0.0,0.0
95,AbsoLab,Thief,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200.0,25.0,25.0,10%,0,0,0,0,0.0,0.0
96,AbsoLab,Thief,5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30.0,30.0,0,10%,0,0,0,0.0,0.0
97,AbsoLab,Thief,6,0.0,0.0,0.0,0.0,0.0,0,0,20%,20%,0.0,20.0,20.0,0,0,0,0,0,0.0,0.0
98,AbsoLab,Thief,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20.0,20.0,10%,0,0,0,0,0.0,0.0
99,Root Abyss,Thief,3,0.0,0.0,0.0,0.0,0.0,0,0,10%,10%,0.0,50.0,0.0,0,0,0,0,0,0.0,0.0
100,Root Abyss,Thief,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,30%,0,0,0,0.0,0.0
101,Raven Horn,Thief,3,0.0,0.0,0.0,0.0,0.0,0,0,15%,15%,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
102,Raven Horn,Thief,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,15.0,0.0,0,0,0,0,0,0.0,10.0
103,Raven Horn,Thief,5,0.0,0.0,0.0,0.0,20.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2 Levels,0.0,0.0
104,Raven Horn,Thief,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30.0,0.0,0,30%,0,0,0,0.0,0.0
105,Raven Horn,Thief,7,0.0,0.0,0.0,0.0,0.0,0,0,15%,15%,0.0,10.0,0.0,0,0,0,0,0,0.0,0.0
106,Pitched Boss,Any,2,0.0,0.0,0.0,0.0,10.0,250,0,0,0,0.0,10.0,10.0,0,10%,0,0,0,0.0,0.0
107,Pitched Boss,Any,3,0.0,0.0,0.0,0.0,10.0,250,0,0,0,250.0,10.0,10.0,10%,0,0,0,0,0.0,0.0
108,Pitched Boss,Any,4,0.0,0.0,0.0,0.0,15.0,375,0,0,0,0.0,15.0,15.0,0,0,5%,0,0,0.0,0.0
109,Pitched Boss,Any,5,0.0,0.0,0.0,0.0,15.0,375,0,0,0,0.0,15.0,15.0,0,10%,0,0,0,0.0,0.0
110,Pitched Boss,Any,6,0.0,0.0,0.0,0.0,15.0,375,0,0,0,0.0,15.0,15.0,0,0,0,0,0,0.0,0.0
111,Pitched Boss,Any,7,0.0,0.0,0.0,0.0,15.0,375,0,0,0,0.0,15.0,15.0,0,0,5%,0,0,0.0,0.0
112,Boss Accessory,Any,3,0.0,0.0,0.0,0.0,10.0,0,0,5%,5%,60.0,5.0,5.0,0,0,0,0,0,0.0,0.0
113,Boss Accessory,Any,5,0.0,0.0,0.0,0.0,10.0,0,0,5%,5%,60.0,5.0,5.0,0,0,0,0,0,0.0,0.0
114,Boss Accessory,Any,7,0.0,0.0,0.0,0.0,10.0,0,0,0,0,80.0,10.0,10.0,10%,0,0,0,0,0.0,0.0
115,Boss Accessory,Any,9,0.0,0.0,0.0,0.0,15.0,0,0,0,0,100.0,10.0,10.0,0,10%,0,0,0,0.0,0.0
116,8th,Thief,3,0.0,0.0,0.0,0.0,0.0,0,0,9%,9%,0.0,0.0,0.0,0,0,0,0,0,2.0,0.0
117,8th,Thief,4,0.0,0.0,9.0,0.0,0.0,0,0,0,0,0.0,9.0,0.0,0,0,0,0,0,4.0,0.0
118,8th,Thief,5,0.0,0.0,0.0,0.0,15.0,0,0,0,0,250.0,0.0,0.0,10%,0,0,0,0,6.0,0.0
119,8th,Thief,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10.0,10.0,10%,0,0,0,0,8.0,0.0
120,Mystic,Any,3,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0.0,6.0,6.0,0,0,0,0,0,0.0,0.0
121,Mystic,Any,4,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0.0,6.0,6.0,0,0,0,0,0,0.0,0.0
122,Mystic,Any,5,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0.0,6.0,6.0,0,0,0,0,0,0.0,0.0
123,Sengoku Treasure,Any,2,0.0,0.0,0.0,0.0,2.0,0,0,0,0,20.0,3.0,3.0,0,0,0,3%,0,0.0,0.0
124,Sengoku Treasure,Any,3,0.0,0.0,0.0,0.0,8.0,0,0,0,0,80.0,12.0,12.0,0,0,0,6%,0,0.0,0.0
